family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
SU2-CZ-random-matching,8,2,exploratory_post_hoc,16,enhancement,0.9836844078858338,0.9744558440399004,0.9929250935706392
SU2-CZ-random-matching,8,2,exploratory_post_hoc,16,orientation_growth_ratio,0.02503696342493409,0.017069114689440182,0.0335066244640165
SU2-CZ-random-matching,8,2,exploratory_post_hoc,16,population_orientation_z,-1.4736630684686638,-2.289436916021497,-0.6377515661082872
SU2-CZ-random-matching,8,2,exploratory_post_hoc,16,r_times_deff,5575.067220700745,5529.311036364575,5622.654050753554
SU2-CZ-random-matching,10,1,exploratory_post_hoc,16,enhancement,0.945141286285997,0.9293006003783989,0.9612850009434254
SU2-CZ-random-matching,10,1,exploratory_post_hoc,16,orientation_growth_ratio,0.05000557382300648,0.03551084136248964,0.06448858175093365
SU2-CZ-random-matching,10,1,exploratory_post_hoc,16,population_orientation_z,-3.165352365094908,-4.063246026897973,-2.2258863246918037
SU2-CZ-random-matching,10,1,exploratory_post_hoc,16,r_times_deff,4027.5668461368637,4001.1501233370336,4053.0053274474517
SU2-CZ-random-matching,10,2,exploratory_post_hoc,16,enhancement,0.9733952626776547,0.9649828599378701,0.9827023266413681
SU2-CZ-random-matching,10,2,exploratory_post_hoc,16,orientation_growth_ratio,0.0274739656782524,0.021128150396110507,0.03362862735196534
SU2-CZ-random-matching,10,2,exploratory_post_hoc,16,population_orientation_z,-3.6961095103570845,-4.8775927050195795,-2.373265797903446
SU2-CZ-random-matching,10,2,exploratory_post_hoc,16,r_times_deff,22151.61765375275,22011.06854788441,22295.175916404845
SU2-CZ-random-matching,12,1,exploratory_post_hoc,16,enhancement,0.9573318793621852,0.9431758147690341,0.9696826403865939
SU2-CZ-random-matching,12,1,exploratory_post_hoc,16,orientation_growth_ratio,0.033699538871285864,0.023902495014340313,0.044542360740533776
SU2-CZ-random-matching,12,1,exploratory_post_hoc,16,population_orientation_z,-3.3062918114660818,-4.38835666615649,-2.337072847499529
SU2-CZ-random-matching,12,1,exploratory_post_hoc,16,r_times_deff,9645.17933106353,9570.634446677217,9724.118458101726
SU2-CZ-random-matching,12,2,exploratory_post_hoc,16,enhancement,0.9751597126875373,0.9688135881030787,0.9812144078956694
SU2-CZ-random-matching,12,2,exploratory_post_hoc,16,orientation_growth_ratio,0.019786794952160618,0.014969900173603003,0.0246990463803192
SU2-CZ-random-matching,12,2,exploratory_post_hoc,16,population_orientation_z,-4.956863203092549,-6.25323192287556,-3.7392471933396854
